participant,Snippet,BA21,BA39,BA44,BA6
p07,RecursiveBinaryToDecimal,2.1252175442378203,1.3562898448779988,1.5959546231494621,1.0906310439668725
p18,RecursiveBinaryToDecimal,0.10041436199330642,2.2384996946629587,2.543947156538879,0.4174040182578659
p19,RecursiveBinaryToDecimal,2.1992233180694636,2.114585814655758,2.1144602911594106,1.8615583027010603
p15,RecursiveBinaryToDecimal,2.083711749552374,2.852600422171435,2.4332637895233864,1.9612524037493122
p01,RecursiveBinaryToDecimal,2.2664273955340564,1.8447766225375428,1.9580266106780804,2.5921227750705045
p17,RecursiveBinaryToDecimal,0.11968334234657743,2.798656496088107,1.837792659579124,0.7034486679559168
p05,RecursiveBinaryToDecimal,1.6190044300139959,2.38655583408734,1.4786384392881569,2.384905383739172
p13,RecursiveBinaryToDecimal,0.8739545858779532,1.341518965340946,1.1102235233413524,0.9309116956604521
p14,RecursiveBinaryToDecimal,2.0615842817859726,2.9658733045571126,2.9010501395094788,2.296223046526823
p11,RecursiveBinaryToDecimal,2.261583840119017,3.1457480555663526,3.8126408952972595,4.199499515812715
p08,RecursiveBinaryToDecimal,1.7927192590846799,1.7537423206623974,1.3503632391673355,1.1070640233025077
p03,RecursiveBinaryToDecimal,2.605789146456302,3.7337561063411964,2.956394908966633,3.065376810254193
p09,RecursiveBinaryToDecimal,0.7591723281007916,2.7846319286083254,2.3794393998838927,2.285511278202799
p06,RecursiveBinaryToDecimal,2.121705878705407,1.8620909600626836,1.2874092474357175,1.689596505763706
p10,RecursiveBinaryToDecimal,1.1387036884449602,2.1293939866145273,2.2192660753324236,2.2602796477638964
p16,RecursiveCrossSum,0.6060490206044743,1.0871839549574642,1.0819098271940364,1.3865211854783857
p02,RecursiveCrossSum,1.2802827894985669,1.928480761959875,1.4724322301730488,2.0955168032696054
p04,RecursiveCrossSum,1.8229870048101247,2.2447055077192632,1.7222376019215728,1.793449845733197
p07,RecursiveCrossSum,1.1671627462033307,2.1414928643790168,1.3940438802165727,0.4804428745189415
p18,RecursiveCrossSum,0.0915136757728415,1.8513167057501172,2.1589722113462626,0.6748942726866646
p19,RecursiveCrossSum,1.4833700939122498,1.6496109756372237,1.5970411048608308,1.555574137860623
p15,RecursiveCrossSum,0.39569102175976134,0.5408822917829111,1.2729781593368388,0.724636180805479
p01,RecursiveCrossSum,2.9669992057418684,2.51013947628262,2.7322943753562865,2.9419186444693035
p17,RecursiveCrossSum,0.068564473615573,1.1690508758398444,1.9669899145601613,0.34655593846742505
p05,RecursiveCrossSum,0.9141817944840984,2.2450277733852992,1.4977417700050855,0.958219861563849
p13,RecursiveCrossSum,1.0230390882096632,1.2219604837412656,1.309305700499789,2.2629016698684143
p14,RecursiveCrossSum,1.3291910947924275,1.803884206775722,1.9061010249751633,1.7107981640052738
p11,RecursiveCrossSum,3.1120676382509167,2.746201582433363,1.8652212029657953,2.6743346183993597
p08,RecursiveCrossSum,1.095835337961339,2.4798249130401917,2.131009955112197,1.4241358586524209
p03,RecursiveCrossSum,1.3686585046964588,1.0444144731720293,1.0190197592211023,0.64486855195572
p09,RecursiveCrossSum,2.072310107049522,2.189349565933072,2.293441791242845,2.971602325535852
p06,RecursiveCrossSum,1.2315084066150592,1.0528635425335724,0.9026826750583592,1.6205635132949978
p10,RecursiveCrossSum,1.420574701713452,1.6221843434258454,2.2314322222340026,1.6168090153776378
p16,RecursiveFactorial,0.7414903942526141,1.1104447657504228,0.5908782302912243,1.0971613439956516
p02,RecursiveFactorial,1.8805085152302214,2.45548324639232,1.8528854037504439,1.593110915420139
p04,RecursiveFactorial,1.524489271886592,1.9227434666223202,1.1684794865573551,1.6794750012460695
p07,RecursiveFactorial,0.06429709999257571,0.5753873285775726,1.1088220837292506,0.20931697640889046
p18,RecursiveFactorial,0.0881708622125322,1.0612321103218394,1.5469622716468918,0.8899187622761828
p19,RecursiveFactorial,1.5613914388206411,1.0000586525246162,1.2406296510477985,0.8829691173573355
p15,RecursiveFactorial,1.7917364518528183,2.2568617252184255,1.905745251570068,1.016698270641558
p01,RecursiveFactorial,1.9978065729975714,1.5125200779079795,1.5239297441497932,1.6881073289867934
p17,RecursiveFactorial,0.07586390863937481,0.49286466381020383,1.0642615104525723,0.12019262771549538
p05,RecursiveFactorial,1.0686747663170253,1.2621099063134589,1.8596056301188064,1.3717608483763533
p13,RecursiveFactorial,1.0975090403090917,1.2305547821132086,0.9484025755961611,0.9822947918057423
p14,RecursiveFactorial,1.1525820170488184,1.0364068284172911,1.298065950047471,0.7450168703141795
p11,RecursiveFactorial,1.8137830663633048,1.3726977412729058,0.9566996863963814,1.5856514132447703
p08,RecursiveFactorial,0.7993990697196961,1.8012312101840506,1.2529537457819977,0.8031317119910236
p03,RecursiveFactorial,1.6614730987816877,1.588531339185003,1.662890780039802,0.9965029013402126
p09,RecursiveFactorial,0.32381547961448365,1.3878764278105618,1.1956512945821691,0.8599697233952894
p06,RecursiveFactorial,1.1540740635216005,1.4788300239410137,1.5139628913252365,0.7191848774897456
p10,RecursiveFactorial,1.3847379406723217,0.9200305914907623,1.7877646905038875,1.5916516871330062
p16,RecursiveFibonacciVariant,1.752144520438373,2.649944017287756,1.394829625493262,2.512258617534615
